pos,text,label
design,This is the complete opposite to an ergonomic design.,1
security,"With awesome graphics and assuring security, it's perfect!",3
chocolate sampler,"The first 2 courses were very good, but the chocolate sampler was too rich for me and the dessert wine far too sweet.",1
rice,The fish was not fresh and the rice tasted old and stale.,1
cursor,"Your cursor will end up all over the freaking place,,,it's not uncommon for me to accidentally delete words, sentences, paragraphs because of this mousepad.",1
bruschettas,"The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating.",3
selecion of wines,The food is great and they have a good selecion of wines at reasonable prices.,3
beef,I always get the Shabu-Shabu dinner and the beef is always fresh.,3
charge,i must keep it plugged in at all times because it will not keep a charge for longer than four minutes.,1
battery,The battery is really long.,3
service,"The portions are now very small, the sauces are overly-ambitious usually inedible while the service is still good, the restaurant, due to its popularity, seems frantic.",3
dinner,Once for dinner and once for brunch.,0
power supply,Was searching online for a power supply when I found this site.,0
use,"I picked it out because it was inexpensive ($400) and I thought it would be a good, easy to use first laptop.",3
live jazz,The quality of food at this restaurant accompanied by fantastic live jazz makes this place a perfect 10!,3
processor,The processor is very quick and effective as I load webpages and applications.,3
use,"Also it is very good for college students who just need a reliable, easy to use computer.",3
shipping,"Called Acer many times, they want me to pay the shipping to ship it to their repair center - I was very disappointed since it is a brand new computer!",1
Norton,"I have never really been big on downloading anything so I wasn't too worried about getting a virus, plus I thought I was protected by Norton.",1
dumpling menu,We could have made a meal of the yummy dumplings from the dumpling menu.,3
Windows 7 Professional,"Upgrading from Windows 7 Starter, thru Windows 7 Home Premium, to Windows 7 Professional was a snap;",0
performed,Good monitor and performed well.,3
fish,"I had the cod with paella (spicy and very filling, I'm a big eater and could only eat half) while my boyfriend had the classic fish and chips (again, a big serving - at least 5 pieces of fish and a basketful of fries).",0
reservations,"We had reservations at 9pm, but was not seated until 10:15pm.",1
color reproduction,It's still beautiful and has better color reproduction than I could ever expect from a notebook.,3
drumsticks over rice,Best drumsticks over rice and sour spicy soup in town!,3
waitstaff,"The waitstaff were attentive, polite and helpful - an impressive feat in such close quarters.",3
prices,This place is not worth the prices.,1
RAM,"I upgraded it's RAM to 2GB, I am very happy with it.",3
food spot,"As a long-time patron of Mamoun's, I always figured that I had found the best late night food spot in the city.",3
Bootcamp,I loaded windows 7 via Bootcamp and it works flawlessly!,3
staff,This is a great Thai restaurant with a very friendly staff.,3
bagels,Pick a bagel has the best bagels in the city.,3
noise level,The main downside to the place is the nazi-like guy running it who constantly complains about the noise level.,1
virus protection for Mac,"There is no need to purchase virus protection for Mac, which saves me a lot of time and money.",3
prices,"The decor is dark, cool and soothing, while the food's presentation is spectacular, considering the low prices.",3
Tofu plates,"I recommend their Pad See Ew, Pork Chops or Tofu plates.",3
software,"The processor screams, and because of the unique way that Apple OSX 16 functions, most of the graphics are routed through the hardware rather than the software.",0
SERVICE FACILITY,COMPUTER HAS BEEN AT SERVICE FACILITY MORE THAN IN MY HANDS.,1
staff,But the staff was so horrible to us.,1
ravioli,I had the best ravioli ever.,3
BATTERY,A SECOND PROBLEM INVOLVES THE BATTERY WHICH IS ADVERTISED AS HAVING A STORAGE LIFE OF 11 HOURS BUT WHEN FULLY CHARGED SHOWS ONLY 7 HOURS OF SERVICE.,1
service,"Not only is the cuisine the best around, the service has always been attentive and charming.",3
service,"Both times I was extremely dissappointed by the service, which was boarderline rude.",1
bread,"- the bread at the beginning is super tasty and makes you want more - the pizza is delicious and comes in personal sizes, however be warned that the Peter's Favourite pizza with prosciutto and baby arugula is actually a margarite pizza with cold prosciutto and baby arugula on top, like a salad.",3
Mac OS,"I thought learning the Mac OS would be hard, but it is easily picked up if you are familiar with a PC.",3
fan,"The processor went on me, the fan went and the motherboard went.",1
table grilling,The wine and cheese plate are plentiful and can't wait to try the fondue or table grilling.,3
shut down,With a MAC computer I have more free time as I don't have to wait for windows to boot up or shut down and all the viruses associated with windows.,1
sweet lassi,The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.,3
extended warranty,") I also purchased Applecare for $300, which is a three year extended warranty, since I ve never seen any laptop that lasted more than two.",0
buffet,The buffet had a nice selection.,3
screen,"The fact that the screen reacts to the lighting around you is an added luxury-when you are working around others in dark areas and want privacy or don't want to bother them with bright lighting, it is very convenient to have a darker, softer lit screen.",3
places,"The Pad thai, lad nar and various other dishes all look good on paper but, I've had better thai food in less asthetically pleasing places.",1
screen quality,"It is easy to use, has great screen quality, and every so light weight.",3
LCD,"However, my girlfriend realized that the netbook's hinge is a bit loose (when you open or close the LCD).",0
speakers,The only thing I wish is the 15 inch MacBook Pro has much better speakers on the side of the keyboard.,1
3 year warranty,"I had of course bought a 3 year warranty, so I sent it in to be replaced and (almost 2 months later) the dv4 is what the sent me as a replacement.",0
processor,"The processor screams, and because of the unique way that Apple OSX 16 functions, most of the graphics are routed through the hardware rather than the software.",3
iMovie,"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.",3
serving,Winnie and her staff are the best crew you can find serving you.,3
Vista,"I noticed windows has a new system called Windows 7, what about us Vista users?  They should get all the bugs out of Vista before investing in a new system.",0
price,would have rather tried terrace in the sky or water club for that price,1
extended warranty,"Because we did not purchase the extended warranty in time, we are on the hook for the repair.",1
wait staff,"The only positive was the wait staff, which was prompt, knowledgable, and likeable.",3
keys,They are about the same size keys.,0
taste,"That is a problem since we paid about 20 bucks a dish, and had to order 5 dishes to get a decent taste.",0
works,"Compared to similarly spec'd PCs, this machine is good value, well built and works easily right out of the box.",3
food,The food is okay and the prices here are mediocre.,0
rasamalai,The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.,1
portions,"My wife and I will usually only order one primi and one secondi and split them, as they tend to offer large portions.",3
terrace,In summer-eat outside on a terrace (another great feature of Suan)!!!,3
use,"It is easy to use, has great screen quality, and every so light weight.",3
food,"I have eaten at Saul, many times, the food is always consistently, outrageously good.",3
mic,"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",1
bacos,"But don't ever order bacon late at nite (either platter or in sandwiches, for that matter don't from any take out place) as it is from the morning frying turns out hard almost like bacos, hurt my molars.",1
Dim Sum,I've been to several places for Dim Sum and this has got to be the WORST.,1
Microsoft word,Microsoft word was not on it andI had to buy it seperately.,1
wine-by-the-glass,Wine list selection is good and wine-by-the-glass was generously filled to the top.,3
size,Right size and weight for portability.,3
oyster,"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!",0
rice,"Each table has a pot of boiling water sunken into its surface, and you get platters of thin sliced meats, various vegetables, and rice and glass noodles.",0
costed,Another thing is that after only a month the left mouse key broke and it costed $175 to send it in to fix it.,0
software,You can call HP and they want you to buy more software to fix it.,0
BIOS,"Whenever tried to turn it on, it would restart as soon as the BIOS launched Windows (or Winblows, as I like ot call it).",1
performance,The macbooks are small enough to be very portable yet hold tons of information and performance.,3
owner,"They're also friendlier here, especially the owner, Kenny.",3
iTunes,"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.",3
prices,The dim sum is delectable while the prices are quite easy on the wallet.,3
waiting area,Yes you have to wait to be seated and because its small there is no waiting area and the seat at the bar was all taken.,1
boot,The Aspire wont even boot past the Acer screen with a Droid (I have tried both Motorola and HTC) plugged into the USB port.,1
tanks,"Where tanks in other Chinatown restaurants display a lurking myriad of sad-looking marine life in their murky waters, the tanks at Ping's are clear as glass with healthy-looking creatures who do not yet know that they will be part of some dim sum lover's brunch.",3
battery life,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",3
usb devices,I can barely use any usb devices because they will not stay connected properly.,1
sauce,"Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed, however herb mix or other sauce would have done much to enhance.",1
graphics cards,"I was a little weary at purchasing another 13"" macbook almost 2 years later but t looks like the newer macbooks have gotten its current line of graphics cards in order this time around.",3
containers for condiments,As we were sitting eating the subpar food the manager proceeded to berate a couple of his employees for putting out the wrong containers for condiments and explained to them how expensive these containers were.,1
online chat,I could not find a phone number anywhere to call an actual live person for tech support and had to result the their online chat.,0
Japanese cuisine,It is obvious that no one in the restaurant has any idea about or experience with Japanese cuisine.,1
programs,"MacBook Notebooks quickly die out because of their short battery life, as well as the many background programs that run without the user's knowlede.",1
Windows XP Professional,"We also use Paralles so we can run virtual machines of Windows XP Professional, Windows 7 Home Premium, Windows Server Enterprise 2003, and Windows Server 2008 Enterprise.",0
pizza,brick oven gallery is My pick for best pizza restaurant anywhere.,3
plain pizza,The plain pizza was soggy and the creative wild mushroom(third generation-Fornini) pizza we had was drenched with truffle oil in the middle( again making it soggy) and nothingon the rest.,1
ambiance,"Haru serves very fresh fish, has a trendy, modern ambiance, prime location on Park Avenue South and friendly service.",3
iBook,There was a little difficulty doing the migration as the firewire cable system can't be used with the iBook.,0
service,"The service was typical short-order, dinner type.",0
tuna,My boyfriend ate tuna and it was cooked perfectly!,3
quality,It is in the best condition and has a really high quality.,3
onions,"Delicate spices, onions, eggs and a kick-ass roti.",3
recovey disk,Tried to make a recovey disk wouldnt get passed the first recovery disk.,1
pie,Wait staff is blantently unappreciative of your business but its the best pie on the UWS!,3
egg noodles in the beef broth with shrimp dumplings and slices of BBQ roast pork,I fell in love with the egg noodles in the beef broth with shrimp dumplings and slices of BBQ roast pork.,3
Runs,Runs smooth and quick.,3
keyboard,also the keyboard does not liht up so unless your sitting in a room with some light you cant see anything and thats bad for me because my boyfriend tends to watch tv in the dark at night which leaves me with no way of seeing the keyboard.,1
food,The location and ambience is Ok but the food is what makes up for it.,3
decor,"Everything looks great, the drinks, the decor, the food, even the people.",3
tuna,Get the tuna of gari.,3
glass touchpad,I love the glass touchpad.,3
baked ziti with meatsauce,"The eggplant parmesan is also great, and my friend who grew up in Manhattan claims that no one serves a better baked ziti with meatsauce.",3
captain,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",3
included program,Another included program that is laughable is the chess game.,1
system memory,It could be a perfect laptop if it would have faster system memory and its radeon 5850 would have DDR5 instead of DDR3.,1
motherboard,"A month or so ago, the freaking motherboard just died.",1
menu,"The menu consisted of standard brassiere food, better then places like Balthazar etc.",3
battery life,"I use this for my tutoring business, and since I'm always bouncing from student to student, it is ideal for portability and battery life (yes, it gets the 8 hours as advertised!).",3
food,The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.,3
characters,We had a great tiem watching the shows and characters and ar food was just what we were looking for.,3
external mouse,On my PowerBook G4 I would never use the trackpad I would use an external mouse because I didn't like the trackpad.,0
software,Supplied software: The software that comes with this machine is greatly welcomed compared to what Windows comes with.,3
shut down,Very fast boot up and shut down.,3
programs,"It is loaded with programs that is of no good for the average user, that makes it run way to slow.",1
battery,the battery is irreplaceable.,1
sushi,Great sushi experience.,3
lunch,"In such a crappy part of town to find a good value for lunch, this place is great.",3
Vista,"I noticed windows has a new system called Windows 7, what about us Vista users?  They should get all the bugs out of Vista before investing in a new system.",1
food,The food was great and the service was even better.,3
iLife,But the machine is awesome and iLife is great and I love Snow Leopard X.,3
trackpad,The trackpad was easy to learn and navigate.,3
ran,"The computer itself was fast, ran smoothly, and had no problems.",3
Thai food,"Decent Thai food in cute - though a bit dank - little Nolita hangout, BUT service terrible.",3
panang duck,"Order the panang duck, it's fantastic.",3
employees,As we were sitting eating the subpar food the manager proceeded to berate a couple of his employees for putting out the wrong containers for condiments and explained to them how expensive these containers were.,1
noodle soup dishes,We ordered some beef and noodle soup dishes from the Thai section of the menu but nothing we got was Thai.,1
atmosphere,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",3
wine choices,Very good wine choices.,3
dish,"When asked about how a certain dish was prepared in comparison to a similar at other thai restaurants, he replied this is not Mcdonald's, every place makes things differently While it is understandable that every place is indeed different, there was not a need to be uncourteous to customers and downright rude.",0
fan noise,"I had the staff telling me older version did not make the fan noise cause it is a ""different"" computer.",1
broth with noodles,At the end you're left with a mild broth with noodles that you can slurp out of a cup.,3
GarageBand,My sister has the same Mac as me and she is in a band and uses GarageBand to record and edit.,0
program,The program came with the computer and works beautifully.,3
lunch,"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",3
sake martini,Not too crazy about their sake martini.,1
Meat dishes,"Meat dishes now adorn the selections, although there's still a large number of vegetarian-friendly choices.",0
owner,Has the chef and owner changed???,0
bagels,The bagels are fabulous.,3
kebabs,The parathas and kebabs are made when ordered ensuring a level of freshness that is unsurpassed.,3
hinge design,"the hinge design forced you to place various connections all around the computer, left right and front.",1
bombay cosmopolitan,The 'kamasutra' and 'bombay cosmopolitan' are excellent and will have you tipsy in no time.,3
keys,keys are all in weird places and is way too large for the way it is designed.,1
pickles,"The Pastrami sandwich was like buttah and with pickles and an icy cold beer to wash it down, it was a pleasurable experience.",3
priced,"I had a terrific meal, and our server guided us toward a very nice wine in our price range, instead of allowing us to purchase a similarly priced wine that wasn't as good.",0
thin crusted pizza,The pizza is the best if you like thin crusted pizza.,0
battery life,"The battery life was supposed to be 6 hours, but even if I ran off the battery with the high effeciency setting the battery would only last me on average about 2.5 to 3 hours.",1
salt,Yeah Shanghai is also great but not quite as good -- they use the same amount of salt but without sweetness to balance out.,1
food,"You can certainly find restaurants that offer a superior fine dining experience, but for superb food at reasonable prices, La Villa can't be beat.",3
in-house lady DJ,"The in-house lady DJ on Saturday nights has outrageously good taste in music, and moreover, takes requests.",3
dinner,"I have been here a few times for dinner, once for brunch and twice for lunch.",0
waitress,We were planning to get dessert but the waitress basically through the bill at us before we had a chance to order.,1
service,The service was excellent - friendly and attentive.,3
LED backlit display,The LED backlit display makes my pictures pop so much more.,3
Reuben sandwich,Best Reuben sandwich ever!,3
sushi,The sushi was awful!,1
vibe,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",3
lentil dish,"The menu changed, portions were even smaller than before, a lentil dish was salty beyond edibility, a basmati rice dish lacked flavor.",1
food,"I like Mamoun's food as well, but side by side, Kati Rolls just produce tastier food hands down.",3
Decor,"Decor is nice and minimalist, food simple yet very well presented and cooked, and the wine list matches the food very well.",3
quicklook,OS X is solid with lots of innovations such as quicklook which save heaps of time.,3
internals,Despite the claims of the Apple apologists (a vice of which I am recently myself reformed) the internals of Mac laptops are NO different from PCs' at this point.,1
monitor,"Now,,,,,my monitor has been acting up for about 2 months.",1
chef,Hats off to the chef.,3
2GB RAM stick,"Finally, I should note that I took the 2GB RAM stick from my old EeePC and installed it before I even powered on for the first time.",0
pizzas,"We parked on the block of Nina's the place looked nice, with people obviously enjoying their pizzas.",3
Customer Service,When I called Sony the Customer Service was Great.,3
place,"While this is a pretty place in that overly cute French way, the food was insultingly horrible.",3
plain pizza,Try their plain pizza with fresh garlic or eggplant.,3
sicilian,The sicilian is my favorite it is moist not dry like most places but all their pizza is great!,3
use,It is easy to use and lightweight.,3
hard drive,It caught a virus that completely wiped out my hard drive in a matter of hours.,1
word processor,"Only other thing is that if you are using this for document creation Apple doesnt provide any kind of word processor (such as works for windows), but iwork is cheap compared to office.",1
service,"The atmosphere is unheralded, the service impecible, and the food magnificant.",3
customers,If I wanted to deal with a crappy scene and annoying customers I'd go out in Manhattan.,1
iTunes,"The brand of iTunes has just become ingrained in our lexicon now, but keep in mind that Apple started it all.",3
tastes,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",3
features,I looked around and based off my price/features comparison from a brand I trusted I landed here.,0
OS,Everything from the design to the OS is simple and to the point.,3
Sony Sonic Stage software,"That included the extra Sony Sonic Stage software, the speakers and the subwoofer I got (that WAS worth the money), the bluetooth mouse for my supposedly bluetooth enabled computer, the extended life battery and the Docking port.",0
food,"The food was just OK, at least for what food was available.",1
ran,"It was a great laptop, ran great and was really fast.",3
food,"While this is a pretty place in that overly cute French way, the food was insultingly horrible.",1
bar,Any if you have a reservation you'll wait for max 5 minutes - so have a drink at the bar.,0
batteries,i have tried to charge on different batteries with no luck.,1
cost,"Even with a relatively inexpensive botle of wine, if you can call $70.00 inexpensive, the cost is through the roof for better than average fare.",1
ambience,I care more about the food and ambience.,0
braised lamb shank in red wine,"I choose to go with one of the special, the braised lamb shank in red wine, which was excellent.",3
Dreamweaver,"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.",0
trackpad,On my PowerBook G4 I would never use the trackpad I would use an external mouse because I didn't like the trackpad.,1
Windows 7 Starter,"I upgraded the memory and replaced the base Windows 7 Starter to Win 7 Home, and it runs just fine.",0
HDD,"Also, HDD secures inside using rails, and there is only one set on the main hard drive.",3
check,When we were finally seated our waitress came by twice-1 for our order and 2-for our check.,0
tables,It is kinda nosiy and the tables are close together but it's still a beautiful place to enjoy a nice dinner.,1
RAM,"Only issue is that it is a little slow, and I'm fixing that by adding more RAM.",0
waitstaff,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",3
price,I looked around and based off my price/features comparison from a brand I trusted I landed here.,0
word processing program,"First, you ll discover that the word processing program known as Appleworks rarely translates perfectly on anyone else s computer, if it translates at all.",1
Pizza,THe Pizza and wine were excellent-the service too--but what really MADE this place was the backyard dining area.,3
service center,"So what am I supposed to do? The LG service center cannot provide me the ""service"" when it is called the ""service center"".",1
connection card,Now the machine won't connect and Toshiba says that they did replace the connection card in May but they only warranty the repair for 30 days and now I'm out of warranty even though this has been a constant 5 month occurance since I bought the netbook.,0
dinner,Wouldn't recomend it for dinner!,1
food,"The food arrived 20 minutes after I called, cold and soggy.",1
prix fixe,We go on Mondays for the prix fixe and our experience with the food has been comparable to Blue Ribbon.,0
mouse on the pad,"the mouse on the pad, the left button always sticks.",0
sushi,honestly the worst sushi my husband and i had in our entire lives.,1
serving,"If the omakase is to showcase technique and variety, serving almost 40% of items BBQ-ed and a spicy tuna roll wrapped with not-so-fresh nori seems to be a rather limp performance.",0
memory,What I'd like is for the laptop to run well without having to purchase additional memory.,1
meal,"(food was delivered by a busboy, not waiter) We got no cheese offered for the pasta, our water and wine glasses remained EMPTY our entire meal, when we would have easily spent another $20 on wine.",0
dinners,"I have had so many dinners here and it's always been perfect - on a date with my husband, with my mom, with girlfriends and larger groups.",3
case,"If you don't feel comfortable doing it yourself, just buy the case and be happy, plus it looks nice, I bought the white one from Best Buy.",3
served,The place is a BISTRO which means: simple dishes and wine served efficiently in a bustling atmosphere.,3
warranty,I will definitely be getting a new laptop if it has any more issues after the warranty expires and researching carefully when I do so I don't run accross a situation like this again!,0
priced,"The food is fresh, delicious, and reasonably priced.",3
banana tempura,"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",3
seating,"The place is larger than most and features adequate seating unlike most joints, and has a bar which deserves a mention.",3
tech issues,"After having two PC laptops die with in the past 3 years, I was led to the Apple display at Best Buy by the sleek design and promise of less tech issues.",3
Gnochi,"Little Tonino's is just awesome, our favorite delivery place in Kennsington, honestly the best Gnochi I have ever had!",3
warranty,Even out of warranty!,0
setting,I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,3
screens,However the frozen screens kept happening.,1
panini,"I plan to come here again and look forward to trying their assortment of bruschetta, panini's.....",3
buttons,the mouse pad and buttons are the worst i've ever seen.,1
chef,I have never better enjoyed humble root vegetables or a mushroom consomme - and this chef accomplishes without fats.,3
lime juice concoction,I ordered the crab cocktail and it was soaked in a lime juice concoction where all you could taste was the lime.,0
drinks,Went on a double date with friend and his girlfriend for a few drinks and appetizers.,0
genius bar,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,3
noodles,"And it all comes at a very reasonable price (congee, noodles, and rice dishes are no more than $3-6 each).",0
prices,"But for whatever reason, prices are about twice as high.",1
Service,"Service is great, takeout is good too.",3
bar food,"So much more than the usual bar food, go there to enjoy the menu while sampling one of their hand-crafted beers.",3
dinner,"Going to Volare is like going to your favorite aunt's house for dinner, assuming that your aunt is a great Italian cook.",0
prices,"Service was decent, but not as smooth as I would expect from a place with these prices and reputation.",1
sushi,"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",3
food,"The service was bad, the food took to forever to come, we sat on the upper level.",1
drinks,The bill is approximately $25 for 2 at lunch without drinks.,0
Beef noodle soup,Beef noodle soup is good as well.,3
software,The software is amazing.,3
spot,Total hipster-wannabe attitude in an otherwise sweet spot.,3
interface device,"After purchasing this thing, I find out that I need a special interface device to connect my camera, and that it cannot be purchased at the store - only on line.",1
panini,The bruschetta and panini's are so yummy!,3
shipping,"The 13"" Macbook Pro just fits in my budget and with free shipping and no tax to CA this is the best price we can get for a great product.",3
presentaion,"On the other hand, if you are not fooled easily, you will find hundreds of restaurants that will give you service and ambiance that is on par with Alain Ducasse, and food that will outshine in presentaion, taste, choice, quality and quantity.",1
prices,"What is even better, is that the prices are very affordable as well, and the food is really good.",3
service,The food itself was just ok - nothing spectacular - but the service was awful.,1
graphics,"The processor screams, and because of the unique way that Apple OSX 16 functions, most of the graphics are routed through the hardware rather than the software.",3
hard drive,"It has plenty of memory, lots of hard drive, and great graphics.",3
rice,A Thai restaurant out of rice during dinner?,0
fan,"So, I took it back to the apple store and they narcissist genius bar staff) fixed it by resetting the fan at boot up.",0
feature,"Even so, I like playing online games, so it was wonderful that there is a feature where I can dualboot Windows.",3
battery,The little battery that it did have would only last about an hour while just having it on the desktop.,1
baby pizzas,Some baby pizzas get their wish.,0
use,The Toshiba laptop I am using is easier to use than most I have tried.,3
keys,"One drawback, I wish the keys were backlit.",1
place,It is kinda nosiy and the tables are close together but it's still a beautiful place to enjoy a nice dinner.,3
sales associate,"After talking it over with the very knowledgeable sales associate, I chose the MacBook Pro over the white MacBook.",3
noise,For those that care about noise this thing doesn't really make any;,3
foods,"From the appetizers we ate, the dim sum and other variety of foods, it was impossible to criticize the food.",3
place,The place was nice and calm.,3
nigiri,I have never before eaten 40 pieces of relatively good nigiri.,0
topping,"They sell special sushi, everything have a topping, sauce and etc.",3
battery,Very long-life battery (up to 10-11 hours depending on how you configure power level settings).,3
dual-core,"I just plug this into my 22"" Monitor and the speedy MacOSX performs just as well on this dual-core that my Dell did with Windows 7 with a quad-core.",0
drinks,"While most people can attest to spending over $50 on drinks in New York bars and hardly feeling a thing, the drinks here are plentiful and unique.",1
external speaker,I am using the external speaker- sound is good.,3
atmosphere,"You don't go to Mizu for excellent service, you go for the large amounts of food, the amiable atmosphere, and the hole-in-the-wall feeling of the place.",3
look,"Besides the great look, it is a great machine.",3
tech support,"Call tech support, standard email the form and fax it back in to us.",0
value ofr money,This is a wonderful place on all stand points especially value ofr money.,3
green curry,Try the green curry!!!,3
sushi,"Quite frankly, this is some of the worst sushi I have ever tried.",1
Blue Fin Torro (Fatty Tuna),"Aside from the Sea Urchin, the chef recommended an assortment of fish including Fatty Yellow Tail, Boton Shrimp, Blue Fin Torro (Fatty Tuna), Sea Eel, etc.",0
uploading photos,"Its pretty fast and does not have hiccups while I am using it for web browsing, uploading photos, watching movies (720p) on occasion and creating presentations.",3
french fries,"My husband said he could've eaten several more, the portion was fine for me he even exclaimed that the french fries were the best he has had.",3
chai tea,The highly spiced chai tea was great too.,3
food,"While the $20 entree range is not overly expensive, in New York City, there is definitely better food in that range, and so Sapphire, despite it's lovely atmosphere, will most likely not be a restaurant to which I will return.",1
carry,i needed one to be able to carry to work everyday and this one seems to fit all of the criteria.,0
Windows,Windows is also rather unsteady on its feet and is susceptible to many bugs.,1
food,sometimes i get good food and ok service.,3
cod with paella,"I had the cod with paella (spicy and very filling, I'm a big eater and could only eat half) while my boyfriend had the classic fish and chips (again, a big serving - at least 5 pieces of fish and a basketful of fries).",1
quality,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,3
pho,"Nha Trang, while being notorious for utter lack of comfort and decor, horribly slow wait staff and horribly quick meals, is one of the best vietnamese restaurants i've ever been to. the pho is delicious and comes with very fresh vegtables.",3
Sushi fix,"Whenever you need a Sushi fix, Mizu will be there with quality fish and great service.",3
web browsing,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",0
Microsoft Word for Mac,"After sending out documents via email and having recipients tell me they could not open the documents or they came through as gibberish, I broke down and spent another $100 to get Microsoft Word for Mac.",0
lunch food,big and soft as well as good lunch food.,3
prices,Very good service and very good prices.,3
programs,"I have Vista, so I am unable to install and uninstall  some programs.",1
lunch,"both are very reasonably priced (around $8 for dinner and $5 for lunch), and are delicious and filling.",3
surf the web,"I use the computer to basically check emails, surf the web, print coupons and for my college papers.",0
food,"Service here was great, food was fantastic.",3
price,"Worse, for the price I could get a *netbook* that outperforms this machine.",1
food,"Its not curry in a slurry crap, and regular run of the mill food.",0
lunch special,The lunch special is an asbolute steal.,3
use,"It is easy to use, fast and has great graphics for the money.",3
Pad Se-Ew,Try the Pad Se-Ew or Chicken with Cashew Nuts for a memorable and repeatable experience.,3
materials,The materials that came with the computer did not include the right # anywhere.,1
butter,The steak was excellent and one of the best I have had (I tasted the butter intitally but in no way did it overwhelm the flavor of the meat).,1
shipping,I had to pay for the shipping!,1
Safari internet browser,"The most recent being that my Safari internet browser is freaking out on me, but I have just been using firefox instead.",1
securitysoftware,With the macbook pro it comes with freesecuritysoftware to protect it from viruses and other intrusive things from downloads and internet surfing or emails.,3
equipment,To be honest i think it was faulty equipment or something but idk.,1
burgers,"Consequently, their burgers fell apart in their hands and made such a mess that they did'nt feel like finishing them.",1
food,"The food is good, especially their more basic dishes, and the drinks are delicious.",3
construction quality,"The cover for the DVD drive soon came off, too--a mark of poor construction quality.",1
features,"It is absolutely horrible to use, despite all its so called advanced features.",1
waitress,The hostess and the waitress were incredibly rude and did everything they could to rush us out.,1
program,"I love the dock where I can simply drop a file ontop of a particular program, and the program will simply open that file.",3
speed,It has easy to use features and all the speed and power I could ask for.,3
waiter,"After 2 tries by the waiter to take it away (we hadn't even looked at it yet, we had full beers yet to drink), the manager approached and told us they needed the table for people with reservations.",1
Quality Display,"Quality Display I love HP,, it's the only computer/printer we will buy.",3
operating system,"The screen is bright and clear, the operating system is solid and friendly to a novice.",3
CD drive,"They sent out the box right away for me to send in my computer, they paid postage and whatnot, but when I got my computer back it still wasn't running right, and now my CD drive wasn't reading anything!",1
place,The place is a BISTRO which means: simple dishes and wine served efficiently in a bustling atmosphere.,3
rice,"It costs $2 extra to turn a regular roll into an inside-out roll, but the roll more than triples in size, and that's not just from the rice.",0
food,This little place definitely exceeded my expectations and you sure get a lot of food for your money.,3
service,"I found the food, service and value exceptional everytime I have been there.",3
ports,If you check you will find the same notebook with the above missing ports and a dual core AMD or Intel processor.,0
features,It did not have all the features I expected it to have.,1
location,"Its location is good and the fact that Hutner College is near and their prices are very reasonable, makes students go back to Suan again and again.",3
Pork Chops,"I recommend their Pad See Ew, Pork Chops or Tofu plates.",3
Jazz,"This is the only Thai place I go too in NYC, it's wonderful, and live relaxed Jazz on certain nights.",3
portions,"The food, served in small tasting portions (as an option) is very good with each dish being better than the next.",3
brunch,We had a 3 hour brunch- they definitely do not rush you- and they kept the unlimited mimosas flowing the whole time.,3
sound,The only problems are the sound isnt very loud I have to wear headphones.,1
