target,text,label
"Unfounded Worry about HPV vaccine ingredients, such as aluminum adjuvant and borax.",Candidates comments about HPV vaccine worry doctors ;P hpv vaccine ,1
"HPV vaccine Gardasil is a fraud, it causes the very thing it is supposed to prevent: cancer. The vaccine probably CAUSES more cervical cancer than it purports to prevent because those vaccinated show a higher incidence of cervical cancer.",The HPV vaccine has also been known to cause the cancer it's supposed to prevent. ¯\_(ツ)_/¯ ,2
"Pharmaceutical companies purposefully conceal information about the safety of vaccines, such as Merck lying about the HPV Gardasil vaccine."," Merck, for example, manufactures the top-selling but devastating Gardasil vaccine and used statistical gimmicks and other deceptive tactics to conceal Gardasil’s risks. Whistleblowers also have accused Merck of falsifying its mumps vaccine data. Bayer, too, has a track record...",2
The immune system overreacts to COVID-19 after taking the COVID-19 vaccine through antibody-dependent enhancement., A lot of Israelis have become infected with Covid 19 after being vaccinated with the Pfizer vaccine.,1
Vitamins May Be Alternative to HPV Vaccine.,Vitamins May Be Alternative to HPV Vaccine. Study: #functionalmedicine,2
More people will die as a result of a negative side effect to the COVID-19 vaccine than would actually die from the coronavirus.,The coronavirus will mutate in such a way that the vaccine will be useless.,1
Vaccine is tested on minorities and underserved communities because it contains sterility formula.,hmmm #Freudian slip on the Diane Rehm show today?hpv vaccine=sterilization? ,2
The immune system overreacts to COVID-19 after taking the COVID-19 vaccine through antibody-dependent enhancement.,"Early evidence suggests that natural immunity from COVID-19 infection may not last very long. According to the CDC, persons previously infected with COVID-19 may still benefit from a COVID-19 vaccine. ",1
The COVID-19 vaccine should not be taken by people who are allergic to eggs., Vaccines are more than protein or mRNA elements of infection you are trying to prevent. People with egg allergies need to avoid vaccines made with eggs. This COVID vaccine has the mRNA inserted into little “balls” acting to deliver to inside cells.,2
Ivermectin and vitamins are alternatives to the COVID-19 vaccine.,"COVID-19 MRNA BIOWEAPON, IVERMECTIN, &amp;amp; THE IMPORTANCE OF VITAMIN D - DR. RYAN COLE #Covaxin #vaccine #vaccination #CoronavirusIndia ",2
The COVID-19 vaccine can cause autism., 's account is temporarily unavailable because it violates the Twitter Media Policy. Learn more.,1
HPV vaccine was not tested on boys.,IS THERE STILL NOT A TEST/VACCINE FOR HPV IN MEN? - ,2
The COVID-19 vaccine causes people to test positive for COVID-19 because the vaccine contains virus.,#PareshRawal tested positive for COVID - 19. After taking first dose of vaccine for virus. #COVID19 ,2
The COVID-19 vaccine can cause autism.,It’s ridiculous that front line workers are the first to get the Covid vaccine. How are they supposed to take care of everyone else after they catch autism? #COVIDー19 #vaccine,2
"Big Pharma puts toxins in the bloodstream through the HPV vaccine, such as aluminum, ""lab engineered DNA"", and a toxin that weakens the blood-brain barrier causing neurological effects.",Halton Catholic School Board Targetted by Big Pharma over HPV Vaccine #women #health #HPV,1
The COVID-19 vaccine can cause COVID-19 because it contains the live virus.,Are u going to take the Covid-19 vaccine?,1
"The HPV Vaccine is unsafe because of risks of adverse events, such as death, injuries, infertility, paralysis, seizures, cervical cancer, mental retardation, loss of vision, and myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS)."," you listed adverse events of HPV vaccine. I work in clinical trials, adverse events = anything that happens, related or not",3
Not getting the HPV vaccine isn't putting others at great risk if you aren't promiscuous.,"The HPV Vaccine isn't promoting promiscuity, and believe it or not, you can't get flu from a flu shot. ",3
The COVID-19 vaccine can cause autism.,"Here is a short video [1 of 3] from North Somerset People First's Joseph, explaining what vaccines are. If you have any questions please let us know 😊 #coronavirus #vaccine #easyread #accessibility #learningdisability #autism #WestonSuperMare #northsomerset ",0
The COVID-19 vaccine can cause COVID-19 because it contains the live virus.,"None of the COVID-19 vaccines uses the live virus. You may have symptoms like a fever after you get a vaccine, but this is normal and a sign that your immune system is learning how to recognize and fight the virus that causes COVID-19. Learn more: ",3
The COVID-19 Vaccine injects the dead SARS-COV2 virus in your body.,The Fall of Covid-19 (SARS-CoV-2) Following the Vaccine being injected into your soft tissue it will infiltrate through your muscle and cells into your bloodstream and be transported to every organ. ,1
Homeopathic / Oriental medicine / alternative medicine / naturopath may Be Alternative to COVID-19 Vaccine.,"#ORPH OpenOrphan ""Human challenge studies may be a valid additional or alternative way of studying an updated vaccine candidate. Based on limited experience and the need for adequate subject protection, discussion with MHRA of study designs is encouraged."" ",1
The immune system overreacts to COVID-19 after taking the COVID-19 vaccine through antibody-dependent enhancement.,A nurse in California tested positive for Covid-19 after over a week of receiving the Pfizer vaccine but a medical expert has said that the body needs more time to build up protection. #coronavirus ,1
More people will die as a result of a negative side effect to the COVID-19 vaccine than would actually die from the coronavirus.," Seriously. I had a women tell me, though the vaccine is 95% effective, she would not be taking it because only 2% of the #Covid patients die and she doesn't want any of those adverse side-effects from the vaccine aka itching, red cheeks, fever...🤡",3
"HPV vaccine Gardasil is a fraud, it causes the very thing it is supposed to prevent: cancer. The vaccine probably CAUSES more cervical cancer than it purports to prevent because those vaccinated show a higher incidence of cervical cancer.",Could the Gardasil vaccine CAUSE cancer? -testing-and-vaccination-56-experts.html,2
The immune system overreacts to COVID-19 after taking the COVID-19 vaccine through antibody-dependent enhancement.,Does the COVID-19 vaccine protect against the new strain?,1
The COVID-19 vaccine can cause COVID-19 because it contains the live virus.,"👉🏽 FACT: COVID-19 vaccines will not give you COVID-19. The vaccine doesn’t contain the live virus that causes COVID-19. Sometimes, you may experience fever after getting the vaccine but this is normal as your body is creating antibodies against the virus and build your immunity.",3
The COVID-19 vaccine interacts with human DNA such as altering DNA with RNA., bigay nya muna yung copy 🤬 HAHAHSSHHSS,1
"Casting doubt about published research of HPV vaccine, such as Media and Science journals being ""bought"" and not publishing info about lack of HPV vaccine safety, it being hard to find ""independent"" research, Doctors or Scientists not telling the truth about HPV vaccines, or disputed information.", Independent research body slams EMA investigation into safety of HPV vaccine. 2 of 2 ,2
Bill Gates admitting Covid-19 vaccine is unsafe.,Bill Gates the philanthropist. #vaccine covid-19 ,1
"Pharmaceutical companies purposefully conceal information about the safety of vaccines, such as Merck lying about the HPV Gardasil vaccine.",Gardasil HPV Vaccine Fraud Exposed By Neurosurgeon Dr. Russell Blaylock. #gardasil #hpv #merck #pharmamafia,2
"The HPV Vaccine is unsafe because of risks of adverse events, such as death, injuries, infertility, paralysis, seizures, cervical cancer, mental retardation, loss of vision, and myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS)."," This is dangerous, the child did not receive HPV vaccine. HPV vaccine does not cause Chronic Fatigue. This is not safe journalism ",3
The COVID-19 vaccine should not be taken by people who are allergic to eggs.,Should you get the COVID vaccine if you have a weakened immune system? ,1
The mRNA COVID-19 Vaccine introduces the viral surface protein characteristics of SARS-COV 2 such that the body builds antibodies against it.," This is key - that Covid-19 vaccines prime the antibody immune response against conserved, non mutable Sars-CoV-2 antigen (epitope) regions, conserved regions that are found in other Coronavirus variants or strains, thus making the vaccine also effective against such strains.",2
"Mushroom extract, AHCC, helpful in treating HPV.",#HPV Vaccine used to treat #cervical precancers triggers immune cell response: ,1
"There are severe side effects of the COVID-19 vaccines, worse than having the virus.",Guys that’s worried about side effects of covid vaccine; what exactly are the specific side effects you’re worried about and can it possibly be worse than the virus ? Let’s do a risk assessment real quick,3
The COVID-19 vaccine causes people to test positive for COVID-19 because the vaccine contains virus.,"California 1,887.682 supposedly tested positive with PCR test not designed to test for coronavirus. 744,161 RECOVERED WITHout A VACCINE. AND 22,670 have passed no break down of preexisting conditons or how many probable cause based on no TESTING WHATSOEVER..and strick lockdown.",1
"The COVID-19 Vaccine contains unsafe toxins which are injected into your bloodstream such as formaldehyde, mercury aluminum, or the spike protein.",Check out the fda website on the side effects of the covid vaccine.,1
The COVID-19 Vaccine is a satanic plan to microchip people by controling the general population either through microchip tracking or nanotransducers in our brains.,bill gates vaccine covid-19 microchip big pharma buzzword buzzword buzzword ,2
Governments hide vaccine safety information by lying about vaccine injury rates and pretending they have COVID under control., 2- In fact I suspect once children are being vaccinated their survival rate for Covid is so high vaccine caused injury or death will be higher than covid's. So an any attempt to hide that by over vaccination seems horribly cruel but plausible an explanation.,2
"The COVID-19 vaccines have not been tested for at least 5 years, as they should, and are therefore not safe experimentation.","Y'all know what the ""herd ammunity without a vaccine"" idea you have is doing? CREATING DIFFERENT STRAINS OF COVID BECAUSE THE INHERENT NATURE OF VIRUSES IS TO RAPIDLY CHANGE.",1
Natural immunity last longer and is better than vaccine-induced immunity.," If the recovery rate is 99.7%, doesn't that mean that our immune system is better at fighting covid than a vaccine?",2
The COVID-19 vaccine should not be taken by people who are allergic to eggs.,You Shouldn't Get the COVID Vaccine if You Have These Allergies. #COVID19 #covidvaccine,1
"Pharmaceutical companies purposefully conceal information about the safety of vaccines, such as Merck lying about the HPV Gardasil vaccine.",Information about HPV Vaccine Safety: #HPV #Gardasil #Cervarix,0
More people will die as a result of a negative side effect to the COVID-19 vaccine than would actually die from the coronavirus.," So apparently there is 5% side effects with this vaccine. UK population is 67 million, so 5% is approximately 3.3million people in UK alone sick Vs 66,000 COVID deaths! What are the side effects and how many will get really sick as a result of the vaccine &amp; how many will die?",2
Vaccine is tested on minorities and underserved communities because it contains sterility formula.,"Bill and Melinda Gates Foundation, GAVI sponsored WHO/UNICEF which was responsible for sterilizing millions of girls and women under cover of an anti-tetanus vaccination program. Bill Gates also faces trial in India for Illegally Testing Tribal Children with HPV Vaccines ",2
"Natural immunity is always the best way to become immune to diseases, better than a vaccine."," Incorrect, natural immunity is always best and no one knows how long this vaccine will protect you",2
The COVID-19 vaccine causes Bell's palsy.,The covid vaccine straighten my dick.,1
Pharmaceutical companies hide cancer cure and release HPV vaccine., Crackpot: They're hiding the cure for cancer! Doctor: Here's a Gardasil vaccine that protects against many forms of cancer. Crackpot: They're injecting us with POIZONZ!!!1!!!!!one!!!,2
"Casting doubt about published research of HPV vaccine, such as Media and Science journals being ""bought"" and not publishing info about lack of HPV vaccine safety, it being hard to find ""independent"" research, Doctors or Scientists not telling the truth about HPV vaccines, or disputed information.","HPV vaccination is safe and effective! Studies continue to show the HPV vaccine works extremely well. With more than 270 million doses given worldwide, it’s also been found extremely safe and its safety is constantly monitored. Visit for more information.",3
The Federal government lied about the COVID-19 vaccines to reduce the information about effective treatments., All lies. All conspiracy theories. It isn't government that is driving the COVID-19 vaccine passport. It is private companies. The Biden administration will not issue a federal mandate requiring a vaccine passport for all. Rev George,2
HPV Vaccine immunity is more protective than natural immunity by lasting longer and giving a better antibody response.,HPV vaccine provides 'herd immunity',1
"HPV vaccine Gardasil is a fraud, it causes the very thing it is supposed to prevent: cancer. The vaccine probably CAUSES more cervical cancer than it purports to prevent because those vaccinated show a higher incidence of cervical cancer.",#vids #fraud #lies Side Effects after HPV #Vaccine #Gardasil #pharmaceutical industry ,2
Governments hide vaccine safety information.,"Cancer agency says HPV vaccine is safe, slams 'unfounded rumours' ",3
Governments hide vaccine safety information.,The truth the health minister Simon Harris tries to hide about the HPV vaccine Gardasil. These are Irish girls... ,2
Governments hide vaccine safety information.,New study: Vaccine Manufacturers and FDA Regulators Used Statistical Gimmicks to Hide Risks of HPV Vaccines ,2
Children and teenagers should not receive the COVID-19 vaccine because it is experimental and no efficacy or safety data for the vaccines exist.,"The University of Oxford said on Tuesday it had paused a small UK trial testing the COVID-19 vaccine it developed with AstraZeneca Plc in children and teenagers, as it waits for more data on rare blood clotting issues in adults who received the shot. ",0
Acquiring HPV immunity naturally is the best by naturally fighting off the disease with a strong immune system.,Immunity from HPV vaccine is stronger than from natural infection - lasts at least a decade.,3
Natural immunity last longer and is better than vaccine-induced immunity.,does the covid vaccine give life long immunity?,1
"The HPV Vaccine is unsafe because of risks of adverse events, such as death, injuries, infertility, paralysis, seizures, cervical cancer, mental retardation, loss of vision, and myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS).","HPV vaccine is effective and safe for use in prevention of Cervical cancer, one of the leading causes of death due to cancers in women. ",3
The COVID-19 vaccine causes Bell's palsy.,BE AWARE!! Can the COVID-19 vaccine cause Bell’s palsy? Expert says it’s unlikely via ,3
The COVID-19 Vaccine is unsafe because the virus is not from nature. It's a bioweapon from PLA's lab.,Russia’s COVID-19 defense may depend on mystery vaccine from former bioweapons lab ,2
"Pharmaceutical companies purposefully conceal information about the safety of vaccines, such as Merck lying about the HPV Gardasil vaccine.", ACP Research gives lie to the safety of HPV vaccines. - “recent press release is serving to sound the alarm ... that the HPV ... not as safe as ... Merck (Gardasil) and GlaxoSmithKline (Cervarix) would want us to believe.” ??!!,2
"People having severe allergies, asthma, or immunocompromised should not receive COVID-19 vaccines.",ALASKA: It seems people who DO NOT HAVE A HISTORY OF ALLERGIES should also beware of the COVID-19 vaccine. #NoVaccine #NoVaccinoAiNoVax #NoVaccineForMe #SCAMDEMIC2020 #ScamdemicIsOver ,2
The mRNA COVID-19 Vaccine replaces your natural genetic code with their synthetic unnatural genetic code.,"Robert F. Kennedy Jr. warns: Don't take a co^19 vaccine ... ￼ mRNA directly alters the genetic material of those who receive it, much like what happens when ""scientists"" genetically engineer (GMO) food crops.....",2
"HPV vaccine Gardasil is a fraud, it causes the very thing it is supposed to prevent: cancer. The vaccine probably CAUSES more cervical cancer than it purports to prevent because those vaccinated show a higher incidence of cervical cancer.",Jahat yah sumpah jahat bet,3
"The COVID-19 Vaccine contains unsafe toxins which are injected into your bloodstream such as formaldehyde, mercury aluminum, or the spike protein.","COVID-19 vaccine passport? The digital credential could be shown in order to attend activities, such as concerts, sporting events, movie theaters, or even enter countries. ",1
The mRNA COVID-19 Vaccine is gene therapy that activates a toxin in your body.," Umm... according to J&amp;J’s website, their Covid-19 vaccine uses the AdVac platform, which is essentially old school antibody triggering. Not mRNA gene therapy like the others. ",3
Not getting the HPV vaccine isn't putting others at great risk if you aren't promiscuous., : #Banshee #Queen Queen before whom you would gladly kneel ( ͡° ͜ʖ ͡°) #Sylvanas #Windrunner #WOW #WorldofWarcraft #futanari #f…,3
The mRNA COVID-19 Vaccine introduces the viral surface protein characteristics of SARS-COV 2 such that the body builds antibodies against it.,"Pfizer-BioNTech's covid-19 vaccine elicits lower levels of antibodies against the SARS-CoV-2 Delta variant (B.1.617.2), first discovered in India, in comparison to other variants, said a research published in Lancet journal. ",2
"People having severe allergies, asthma, or immunocompromised should not receive COVID-19 vaccines.","VERIFY: If you have severe allergies, should you get the COVID-19 vaccine? ",0
The immune system overreacts to COVID-19 after taking the COVID-19 vaccine through antibody-dependent enhancement., She may have had Covid-19 before she received the vaccine and two doses of the vaccine is required.,1
The COVID-19 vaccine can cause autism.,This COVID vaccine will make zombies,1
More people will die as a result of a negative side effect to the COVID-19 vaccine than would actually die from the coronavirus.,"Follow up question. For each of the 1,6m dead, how many will have a heart or lung related co-morbidity, how many made it to ICU and how many will die in a short period after recovering from #covid19? Would you mind showing us a simple calculation? ",3
Governments hide vaccine safety information by lying about vaccine injury rates and pretending they have COVID under control.,I just hope this government will not hide the vaccine the way they hide Covid-19 palliatives. Everything na scam for this country I swear.,2
Garlic increases immunity against COVID-19 and is completely free of sides effects.," this video is full of dangerous misinformation. there have indeed been thousands of significant side effects to this vaccine, including death (see CDC website), and it is categorically *not the ""only"" way to boost immunity against Covid-19.",1
Pharmaceutical companies hide cancer cure and release HPV vaccine.," ""It is uncertain whether HPV vaccination prevents cervical cancer."" The study essentially details all the ways in which the FDA enables the pharmaceutical companies to conduct scientific fraud for the purposes of licensure and marketing. #HPVワクチン ",2
The COVID-19 vaccine interacts with human DNA such as altering DNA with RNA.,So if the govt injects modified messenger DNA into our bodies with the COVID-19 vaccine...what in hell will our DNA say about that? I may be smarter than a Biden?,2
Not getting the HPV vaccine isn't putting others at great risk if you aren't promiscuous.,HPV Vaccine Doesn't Put Girls' Fertility at Risk: Study ,1
The COVID-19 vaccine should not be taken by people who are allergic to eggs.,Does every person need to get the COVID-19 vaccine?,1
Vaccine is tested on minorities and underserved communities because it contains sterility formula.,Gardasil is one of the worst vaccines of all because it is taking out our young girls and sterilizing them in many cases due to ovarian failure often not detected until well past the 3 year statue of limitations--the shortest SOL of any drug or pharmaceutical in the industry. ,2
The COVID-19 vaccine can cause autism.," I wondered about this! I heard the vaccine can cause a mild fever in some people. So suppose I take the vaccine and then I get a fever. How do I know it was caused by the vaccine and not by the coronavirus, which I caught by coincidence?",1
The COVID-19 vaccine causes people to test positive for COVID-19 because the vaccine contains virus.,So a nurse tested positive for covid after receiving the vaccine,2
The COVID-19 vaccine interacts with human DNA such as altering DNA with RNA., *Leans closer to jon* lets do this ,2
"The HPV Vaccine is unsafe because of risks of adverse events, such as death, injuries, infertility, paralysis, seizures, cervical cancer, mental retardation, loss of vision, and myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS).", NY wants to mandate HPV vaccine. This vaccine has caused death and injury including paralysis. ,2
The immune system overreacts to COVID-19 after taking the COVID-19 vaccine through antibody-dependent enhancement.," Healthcare workers will be contagious after getting the Covid shot..its called shedding? It happens when you take any shot, your body excretes it through skin and sweat afterwards. We need virus cures not a vaccine.",1
Pharmaceutical companies conceal information about COVID-19 breakthroughs or reinfections.,Current status of COVID-19 vaccine procurement with 7 pharmaceutical companies ,0
"The COVID-19 vaccines have not been tested for at least 5 years, as they should, and are therefore not safe experimentation.", Good luck on that I’m not a fool I’m not taking it because it’s not safe to me only 8 months of testing and there is no vaccine for the common cold but in 8 months they made one for COVID ok not safe in my eyes but hey go right ahead good luck,2
"Vaccines alter the immune system of a child, such as causing cytokine storm where the immune system attacks the body, especially in young women, girls, and unborn children where the vaccine was designed to destroy their immune systems.", The HPV vaccine has a multitude of data linking it to infertility. Vaccines alter the immune system of an unborn child. When that child is then vaccinated with a different vaccine you could have a major issue to include the likes of a cytokine storm!,2
The immune system overreacts to COVID-19 after taking the COVID-19 vaccine through antibody-dependent enhancement.," Or maybe NOT: DrMercola: There is concern that COVID-19 vaccines could cause antibody-dependent enhancement, or ADE, in which the vaccine enhances the virus’ ability to enter and infect your cells, resulting in more severe disease than had you not been vaccinated.",2
HPV vaccine was tested against a placebo with high amounts of aluminum.,"Gardasil doubled the amount of aluminium in the new version of the HPV ""vaccine"" #hpv #vaccine via ",2
The COVID-19 Vaccine is a satanic plan to microchip people by controling the general population either through microchip tracking or nanotransducers in our brains.,"These people are idiots. When we designed the COVID-19 vaccine microchip, we made sure to make it out of transparent aluminum to avoid magnetic reactions. ",3
"There are severe side effects of the COVID-19 vaccines, worse than having the virus.",Los vecinos de mi tía hacen todo el día postres. Me dará coma diabético con solo olerlo.,1
Governments hide vaccine safety information.,IRISH GOVERNMENT CAUGHT MANIPULATING GARDASIL STATISTICS TO HIDE DANGER ,2
"The HPV Vaccine is unsafe because of risks of adverse events, such as death, injuries, infertility, paralysis, seizures, cervical cancer, mental retardation, loss of vision, and myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS).","HPV vaccine is dangerous, there are too many kids injured some of them unfortunately very badly ",2
The COVID-19 Vaccine is a satanic plan to microchip people by controling the general population either through microchip tracking or nanotransducers in our brains.,"A notable minority believe conspiracy theories about a Covid-19 vaccine – eg one in seven believe the real aim is simply to track and control the population, and one in eight say they don’t trust the UK government to ensure the vaccine is safe ",3
The COVID-19 vaccine can increase risk for other illnesses.,The covid vaccine made me feel sicker than actually having covid did.,1
"The HPV vaccine was recalled or banned in many countries, such as being ""proven unsafe"" in Europe.", the hpv vaccine should of been banned years ago! i've followed it's horrors in the news for years! thought it was already banned!,2
"HPV vaccine Gardasil is a fraud, it causes the very thing it is supposed to prevent: cancer. The vaccine probably CAUSES more cervical cancer than it purports to prevent because those vaccinated show a higher incidence of cervical cancer.","To prevent the #HPV types that cause most cervical cancers, Cervarix &amp; Gardasil vaccines are given in 3 shots over 6 months. #Health #Tip",1
"Casting doubt about published research of HPV vaccine, such as Media and Science journals being ""bought"" and not publishing info about lack of HPV vaccine safety, it being hard to find ""independent"" research, Doctors or Scientists not telling the truth about HPV vaccines, or disputed information.","HPV Vaccine Safety Fraud - Omitting of at least 20 trials in the final research because they ""could damage public confidence"" and influenced by reporting bias and biased trial designs Placebos... ",2
The COVID-19 Vaccine is using risky nanotechnology.,How a risky bet on experimental biotechnology led to a COVID-19 vaccine - 60 Minutes - CBS News ,0
"Mushroom extract, AHCC, helpful in treating HPV.","""Is #HPVVaccine useful in treating #cervicalcancer?"" Read blog by #DrAlexanderSalerno. #SalernoMedicalAssociates ",1
Bill Gates admitting Covid-19 vaccine is unsafe.,COVID-19 Vaccine: Nigerian Government tackles Bill Gate ,0
Pharmaceutical companies hide cancer cure and release HPV vaccine.," If the hpv vaccine didn’t exist, there would be a conspiracy saying doctors are hiding the cure for cancer since we make so much more money treating it than preventing it.",3
The COVID-19 vaccine causes people to test positive for COVID-19 because the vaccine contains virus.,The Covid Vaccine has PEGS that’s what made the people who had severe reactions sick!,1
Acquiring HPV immunity naturally is the best by naturally fighting off the disease with a strong immune system.,Boost Your Immune System to Fight HPV Naturally: #HPV #Gardasil Please RT,2
"The COVID-19 vaccines have not been tested for at least 5 years, as they should, and are therefore not safe experimentation.",acho q pela briga de hj tô é tpm quase certeza confirmo em breve,3
"Natural immunity is always the best way to become immune to diseases, better than a vaccine."," No problem. It's important to distinguish that it's generally better to get immunity from a vaccine than a disease (e.g. Covid), but with new disease this isn't always possible and in these cases natural immunity should be recognized. I think public health is afraid to state this",3
The COVID-19 vaccine can cause autism.,I’m not taking the COVID vaccine.,1
The COVID vaccine renders pregnancies risky and unsafe for unborn babies by causing causes infertility or miscarriages.,No evidence Pfizer Covid-19 vaccine affects women’s fertility - Full Fact ,3
"Pharmaceutical companies purposefully conceal information about the safety of vaccines, such as Merck lying about the HPV Gardasil vaccine.",Merck and insurance companies at cross-purposes over Gardasil ,1
"Big Pharma puts toxins in the bloodstream through the HPV vaccine, such as aluminum, ""lab engineered DNA"", and a toxin that weakens the blood-brain barrier causing neurological effects.","Why anyone would allow their 13yr old daughter (or son) to put this or any other Big Pharma toxin into their bloodstream, is way beyond my capacity for logic! ",2
"HPV vaccine Gardasil is a fraud, it causes the very thing it is supposed to prevent: cancer. The vaccine probably CAUSES more cervical cancer than it purports to prevent because those vaccinated show a higher incidence of cervical cancer.", The gardisil vaccine (HPV) is one of the most dangerous ones ever brought to market! It has paralysed teenagers and caused massive Immune disease. They are now saying this vaccine is recommended for throat cancer. This vaccine had a sterile ingredient ,2
"Lack of confidence in Doctors / Scientists, due to some Scientists explaining why the HPV vaccine is unsafe, the Gardasil creator saying the vaccines are just as dangerous as HPV, children being given too many vaccines, or science / Doctors supporting or explaining the safety and efficacy of HPV vaccines.",Top scientists know #Gardasil is dangerous #SaveYourKids ,2
"COVID-19 Vaccines are gene modifying injections which make children's immune system attack organs, including brain and will kill you.","COVID-19 vaccine trials for children are under way. TILL SUCCESS, BY FOLLOWING PROVEN HEALTH MEASURES IS STILL THE BEST WAY TO KEEP EVERYONE, INCLUDING CHILDREN, SAFE FROM COVID-19. #RahnumaFPAP #FPAP #NewNormal #Corona3rdwave #COVID19 #NHSRCOfficial #ippf #SARO #undp #NGO #WHO ",3
Acquiring HPV immunity naturally is the best by naturally fighting off the disease with a strong immune system.,"""Natural"" isn't always better, especially when it comes to immunity. Vaccines can be more protective than natural infections, with examples including the zoster, Hib, HPV, and tetanus vaccines. Covid-19 could be the same. via #vaccination",3
The vaccine has not gone through testing for carcinogenicity or impairment of fertility.," Hmmmm wonder what happened to Scarlet Fever? No vaccine, yet its gone! You dont know if vaccines cause cancer or not. Not one has been tested for carcinogenicity. They admit that on package inserts and we know that damn HPV vaccine can and does cause cancer!",2
Natural immunity last longer and is better than vaccine-induced immunity.,what if the vaccine for covid-19 is just a placebo?,1
The COVID-19 Vaccine is using risky nanotechnology.," : E a quem Deus prometeu, jamais faltou. Na hora certa o bom Deus dará. 🙏",3
The COVID-19 vaccine should not be taken by people who are allergic to eggs.,Is the COVID vaccine going to be mandated?,1
The COVID-19 vaccine contains tissue from aborted fetuses.,COVID-19 vaccine is made out of the tears of aborted babies,2
"COVID-19 Vaccines are gene modifying injections which make children's immune system attack organs, including brain and will kill you."," It's not a vaccine. Its an experimental injection. A gene ""therapy"" designed to program you. Meant to terminate (kill) people for a desired reduction in population. It does not prevent the Covid-19 virus. Those who comply are playing Russian Roulette.",2
The COVID-19 vaccine can cause autism.,Will the coronavirus vaccine cause infertility? Here’s what you need to know. ,1
The COVID-19 vaccine can increase risk for other illnesses.,Will you receive the Covid-19 vaccine ?,1
No vaccine has ever been thoroughly safety tested against a placebo.," Vaccines are not tested against inert placebos. For example, the placebo used in testing Gardasil had a high dose of aluminum, so both groups had injuries but Merck could say the vaccine was not significantly more injurious...see how it works. Read Gardasil on Trial...Research!!!",2
The COVID-19 vaccine can increase risk for other illnesses.,Does the vaccine work for the new covid strain ?,1
Pharmaceutical companies hide cancer cure and release HPV vaccine.,Breaking! New study: Vaccine Manufacturers &amp; FDA Regulators Caught Hiding Risks of HPV Vaccines - #notsurprised,2
More people will die as a result of a negative side effect to the COVID-19 vaccine than would actually die from the coronavirus., I Suggest for no one to take this vaccine. Because you will more then like die from the vaccine then covid-19.,2
"Big Pharma puts toxins in the bloodstream through the HPV vaccine, such as aluminum, ""lab engineered DNA"", and a toxin that weakens the blood-brain barrier causing neurological effects.",Big Pharma sterilizing girls that get HPV vaccine. Girls also get neurological disorders or death from it. Now they push boys...doesn’t sound good to me!! ,2
"There are severe side effects of the COVID-19 vaccines, worse than having the virus.",you’re telling me the side affects of the covid vaccine are the symptoms of covid?,0
The mRNA COVID-19 Vaccine replaces your natural genetic code with their synthetic unnatural genetic code.,"“The mRNA-1273 vaccine is a lipid nanoparticle–encapsulated mRNA-based vaccine that encodes the prefusion stabilized full-length spike protein of the SARS-CoV-2, the virus that causes Covid-19”. #modernavaccine #COVID19 #SARSCoV2 ",2
The COVID-19 Vaccine is a satanic plan to microchip people by controling the general population either through microchip tracking or nanotransducers in our brains.,I honestly can’t with the state of humanity. ,3
The COVID-19 vaccine can cause COVID-19 because it contains the live virus., It’s possible a person could be infected with the virus that causes COVID-19 just before or just after vaccination and get sick. This is because the vaccine has not had enough time to provide protection.,1
"Unfounded Worry about HPV vaccine ingredients, such as aluminum adjuvant and borax.",Many are worried about the HPV vaccine. Why I'm not: ,2
"Pharmaceutical companies purposefully conceal information about the safety of vaccines, such as Merck lying about the HPV Gardasil vaccine.",Questioning the safety of Gardasil|Company defends vaccine .. ,1
Many people already have died from the COVID-19 vaccine trials., It’s pretty well the same everywhere until Covid dies down or we all get vaccine. In addition there’s a good chance many countries will not let anyone from UK into their country - already started with Holland and Belgium,1
The mRNA COVID-19 Vaccine replaces your natural genetic code with their synthetic unnatural genetic code.,"Our health is at stake, let us strive to seek information from credible sources. COVID-19 vaccines cannot alter your DNA. mRNA can’t combine with our DNA to change our genetic code.#SpreadFactsNotMyths. Visit 's data free site here: ",3
HPV vaccine was not tested on boys.,"Gardasil and cervarix.Vaccine against the cancer causing HPV viruses. For young girls and boys, also women who have tested -ve for the virus ",0
"The COVID-19 Vaccine contains unsafe toxins which are injected into your bloodstream such as formaldehyde, mercury aluminum, or the spike protein.", SIS MADE US ALL SIMP AGAIN,1
"Unfounded Worry about HPV vaccine ingredients, such as aluminum adjuvant and borax.","Parents' worries about HPV vaccine grow, even as evidence of safety increases: ",2
"COVID-19 Vaccines are gene modifying injections which make children's immune system attack organs, including brain and will kill you.","COVID-19 Vaccine Teaches Immune System Defence Against Attack, Says Expert ",3
HPV vaccine was not tested on boys.,"HPV vaccine found to not cause autoimmune disorders Not a shocker, can it be the boys turns now? #hpvvaccine",1
The vaccine has not gone through testing for carcinogenicity or impairment of fertility.," Or The HPV vaccine rushed through FDA testing. Then basically forced on prepubescent girls that are now childbearing age buts let's not talk about that, for fear of being labeled anti-vax. Nope just this one. #fertilityrates",2
